"Payment Methods Filter","Filtro de Meios de Pagamento"
"Group Payment Methods","Grupo de Meios de Pagamento"
"Payment Methods","Meios de Pagamento"
"To select multiple values, hold the Control-Key<br/>while clicking on the payment method names.","Para selecionar vários valores, segure Control<br />enquanto clica nos nomes dos métodos de pagamento"
"Customer Groups Payment Methods","Meios de Pagamento por Grupos de Clientes"
"Disable Payment Filter Extension","Desabilitar Extensão Filtro de Pagamento"
"Disable payment methods for this product","Desabilitar meios de pagamento para este produto"
"Allow explicitly payment methods for this customer","Permitir explicitamente meios de pagamento para este cliente"
